google_score,amazon_score,clarifai_score,class,race,gender
0.772911966,96.51287842,0.991722167,Female_South-East Asian,South_East_Asian,Female
0.854398191,98.62297821,0.992450535,Female_South-East Asian,South_East_Asian,Female
0.778633118,98.64800262,0.970964015,Female_South-East Asian,South_East_Asian,Female
0.668950021,96.08242798,0.97040832,Female_South-East Asian,South_East_Asian,Female
0.878459692,98.26779938,0.974067032,Female_South-East Asian,South_East_Asian,Female
0.822418928,90.82115173,0.984126747,Female_South-East Asian,South_East_Asian,Female
0.800897777,98.36662292,0.983641624,Female_South-East Asian,South_East_Asian,Female
0.65851754,96.10103607,0.99138999,Female_South-East Asian,South_East_Asian,Female
0.620459914,99.0069046,0.921263099,Female_South-East Asian,South_East_Asian,Female
0.850486457,94.41657257,0.996475101,Female_South-East Asian,South_East_Asian,Female
0.840438128,96.5291748,0.998405576,Female_South-East Asian,South_East_Asian,Female
0.831537426,97.99248505,0.999031067,Female_South-East Asian,South_East_Asian,Female
0.5,86.53713226,0.928911746,Female_South-East Asian,South_East_Asian,Female
0.772559106,88.4149704,0.992300868,Female_South-East Asian,South_East_Asian,Female
0.809801877,99.13700104,0.978162646,Female_South-East Asian,South_East_Asian,Female
0.5,67.7276535,0.909779727,Female_South-East Asian,South_East_Asian,Female
0.846311688,97.50437164,0.932208061,Female_South-East Asian,South_East_Asian,Female
0.615638018,71.07206726,0.975356221,Female_South-East Asian,South_East_Asian,Female
0.673346579,88.41578674,0.980059862,Female_White,White,Female
0.682198048,99.70632172,0.990384459,Female_White,White,Female
0.609806418,95.2857132,0.906960607,Female_White,White,Female
0.693425119,87.50714111,0.973398924,Female_White,White,Female
0.784252048,91.49884796,0.887134671,Female_White,White,Female
0.838465691,97.22098541,0.985594988,Female_White,White,Female
0.800043225,89.01634216,0.992919803,Female_White,White,Female
0.763388038,96.95838165,0.991029143,Female_White,White,Female
0.836673737,96.41321564,0.973975956,Female_White,White,Female
0.872013986,98.90036011,0.997881293,Female_White,White,Female
0.779529631,88.11418915,0.956176639,Female_White,White,Female
0.798115373,99.73817444,0.5,Female_White,White,Female
0.796717286,86.50113678,0.988672972,Female_White,White,Female
0.737602353,96.44173431,0.966043591,Female_White,White,Female
0.750830293,97.57024384,0.99243927,Female_White,White,Female
0.780859888,99.67643738,0.976347923,Female_White,White,Female
0.768863142,97.14790344,0.993869305,Female_White,White,Female
0.712972999,99.53224945,0.981147289,Female_White,White,Female
0.772182465,98.63104248,0.996903658,Female_White,White,Female
0.696473479,91.81111145,0.993703961,Female_White,White,Female
0.708880484,56.01905823,0.889771819,Female_White,White,Female
0.793634653,97.0400238,0.960466564,Female_White,White,Female
0.688865304,97.14647675,0.981587529,Female_White,White,Female
0.644236028,96.94187164,0.857701361,Female_White,White,Female
0.730178237,97.51460266,0.98541075,Female_White,White,Female
0.711619675,99.83393097,0.978766561,Female_White,White,Female
0.82125771,98.83295441,0.99916321,Female_White,White,Female
0.771138132,99.30106354,0.948182225,Female_White,White,Female
0.687010467,99.72074127,0.948688507,Female_White,White,Female
